wake,estimatedSleep,coffee,actualSleep
35100,8.0,8.0,35966
27900,6.5,9.0,31172
34200,5.25,3.0,21757
26100,9.5,3.0,37100
76500,6.0,5.0,26231
27900,7.75,1.0,29209
27000,5.75,9.0,29094
33300,9.0,7.0,38245
27900,5.25,2.0,21078
19800,5.25,1.0,20231
18900,7.0,2.0,27282
5400,6.0,3.0,24560
30600,7.5,4.0,30739
18000,10.0,10.0,45203
29700,8.75,1.0,32888
33300,6.0,3.0,24735
35100,6.0,1.0,22866
18000,5.0,2.0,20118
24300,8.25,1.0,30969
34200,9.0,3.0,35192
35100,9.25,1.0,34628
42300,9.5,1.0,35487
27900,5.5,1.0,21068
26100,6.0,2.0,23606
22500,7.25,3.0,28869
20700,7.75,3.0,31007
27900,7.0,6.0,30352
31500,7.75,1.0,29174
22500,7.25,1.0,27451
32400,7.25,8.0,33200
45000,5.5,9.0,28391
27000,9.75,2.0,37208
76500,5.5,3.0,22701
32400,9.5,1.0,35450
32400,6.0,4.0,25198
27900,9.0,1.0,33752
29700,5.75,1.0,21975
20700,7.5,9.0,35084
25200,9.5,6.0,39901
27000,8.0,8.0,36410
9900,5.25,1.0,20204
27000,6.75,9.0,32816
27000,7.25,1.0,27457
19800,9.5,2.0,36384
25200,6.25,3.0,25584
27000,10.0,2.0,38223
28800,6.25,1.0,23836
9000,9.5,3.0,37353
54900,6.0,9.0,28946
28800,8.25,8.0,37170
56700,7.25,4.0,29795
31500,9.75,2.0,37271
34200,5.0,1.0,19291
30600,7.25,8.0,33327
31500,7.0,3.0,28384
31500,10.0,5.0,40474
33300,5.75,2.0,22777
33300,8.0,1.0,30100
18900,8.25,2.0,31774
30600,9.25,1.0,34574
82800,8.0,9.0,37388
18900,10.0,1.0,37263
76500,8.75,4.0,35495
54000,6.25,2.0,24582
26100,5.0,7.0,23951
13500,9.5,1.0,35588
31500,7.0,1.0,26446
53100,6.75,1.0,25658
23400,10.0,1.0,37261
29700,9.25,4.0,37251
29700,10.0,3.0,39006
31500,6.25,1.0,23792
14400,6.25,1.0,23834
25200,5.75,2.0,22692
30600,8.25,2.0,31828
18900,7.75,2.0,30174
27900,7.25,1.0,27387
63900,5.0,7.0,24349
26100,7.5,3.0,30164
21600,5.75,6.0,26160
34200,6.75,1.0,25626
26100,8.0,1.0,30120
23400,9.5,1.0,35515
27000,5.5,2.0,21940
28800,9.75,3.0,38230
46800,9.25,6.0,39143
18900,5.75,7.0,27420
28800,6.0,3.0,24395
39600,6.5,3.0,26442
23400,6.0,5.0,26479
31500,6.5,7.0,30069
20700,9.0,1.0,33697
19800,5.25,7.0,25181
21600,5.25,2.0,20945
21600,5.5,3.0,22864
33300,5.5,7.0,26597
30600,7.25,1.0,27460
24300,7.25,3.0,29146
26100,7.0,5.0,30044
25200,9.25,1.0,34563
19800,7.5,1.0,28370
21600,8.5,7.0,37047
25200,9.75,8.0,42708
35100,9.0,1.0,33744
33300,9.0,1.0,33771
27000,7.75,2.0,30164
35100,5.25,2.0,21054
57600,7.25,1.0,27318
21600,5.75,1.0,22004
38700,5.5,3.0,22793
20700,9.75,4.0,39017
28800,7.5,1.0,28251
32400,9.75,1.0,36437
16200,7.5,1.0,28238
23400,9.5,1.0,35547
31500,9.75,9.0,42458
18000,5.25,3.0,21952
35100,6.75,2.0,26552
19800,7.75,10.0,36012
24300,10.0,3.0,39164
28800,9.75,1.0,36346
32400,5.25,1.0,20225
34200,7.25,1.0,27394
35100,6.5,1.0,24746
26100,8.5,3.0,33391
900,5.75,8.0,27344
27000,7.0,7.0,31270
25200,8.75,10.0,40004
35100,6.0,4.0,25130
27000,6.5,1.0,24704
25200,6.0,8.0,29139
27900,5.0,9.0,26166
34200,5.25,1.0,20276
25200,6.75,3.0,27345
28800,6.0,3.0,24405
32400,7.0,3.0,28235
24300,6.25,1.0,23751
31500,9.75,9.0,42448
18900,6.5,8.0,30271
32400,6.25,3.0,25540
30600,8.0,3.0,31660
27000,5.0,6.0,23051
18000,6.0,3.0,24346
29700,9.25,2.0,35455
27000,6.5,2.0,25402
81900,5.25,1.0,20189
30600,8.5,2.0,32697
21600,10.0,2.0,38133
20700,8.5,4.0,34498
34200,7.75,1.0,29259
21600,5.25,9.0,27252
28800,10.0,3.0,38835
24300,6.5,7.0,30097
34200,7.75,1.0,29164
25200,5.5,3.0,22837
21600,6.5,5.0,27984
18900,8.75,1.0,32751
22500,8.75,1.0,32821
9900,7.5,4.0,30866
25200,6.75,1.0,25680
23400,6.75,8.0,31266
19800,9.75,2.0,37139
20700,5.25,1.0,20270
23400,10.0,8.0,42601
30600,8.5,8.0,37863
21600,9.0,1.0,33682
26100,5.5,3.0,22951
19800,5.0,3.0,21043
64800,8.25,1.0,31018
54900,5.75,3.0,23850
21600,8.5,3.0,33682
30600,7.25,2.0,28351
26100,5.5,1.0,21118
32400,5.5,3.0,22567
34200,5.5,3.0,22663
26100,8.5,2.0,32775
30600,7.75,1.0,29170
18000,9.25,4.0,37064
21600,8.25,2.0,31970
25200,7.25,7.0,32603
18900,8.75,3.0,34615
26100,5.5,1.0,21037
23400,9.0,1.0,33684
27000,7.5,3.0,29822
34200,7.0,1.0,26425
34200,5.25,8.0,25758
35100,9.75,3.0,38283
31500,9.0,9.0,40586
27900,5.75,1.0,22070
32400,7.25,2.0,28276
28800,6.0,2.0,23691
22500,8.75,1.0,32790
29700,9.25,2.0,35552
20700,8.25,8.0,36933
20700,8.0,1.0,30064
27900,6.5,9.0,31069
28800,5.0,2.0,20130
25200,7.0,3.0,28040
27000,5.5,3.0,22603
27000,9.75,4.0,39075
32400,7.5,1.0,28255
31500,9.5,1.0,35548
32400,7.25,8.0,32927
26100,7.75,2.0,30151
83700,8.0,8.0,35658
54900,6.75,3.0,27288
18000,7.0,1.0,26549
23400,5.5,1.0,21089
23400,9.0,1.0,33734
20700,7.75,1.0,29142
23400,5.25,1.0,20119
27000,6.5,1.0,24739
33300,8.75,3.0,34484
34200,6.5,2.0,25439
28800,9.25,1.0,34663
34200,7.0,3.0,27987
50400,10.0,2.0,38262
19800,8.0,9.0,36738
21600,8.5,4.0,34292
32400,5.25,1.0,20145
30600,8.25,2.0,31881
23400,6.25,1.0,23733
35100,5.25,10.0,27657
18000,5.75,1.0,22014
25200,5.75,2.0,22761
21600,5.0,8.0,24582
34200,8.75,5.0,36236
23400,5.25,1.0,20144
30600,6.5,4.0,27186
28800,7.25,1.0,27379
19800,8.5,1.0,31878
27900,9.5,1.0,35454
33300,6.0,4.0,25365
23400,6.75,3.0,27243
18000,8.5,4.0,34586
28800,8.0,2.0,30845
22500,9.25,9.0,40647
31500,6.75,3.0,27375
32400,8.0,1.0,30200
29700,10.0,2.0,38199
65700,9.0,6.0,37947
21600,5.75,5.0,25205
20700,8.75,2.0,33772
20700,5.25,1.0,20264
34200,9.0,1.0,33637
23400,9.25,1.0,34664
25200,7.0,3.0,28039
27000,6.75,3.0,27115
33300,7.0,9.0,33550
27000,8.5,1.0,31953
27000,5.0,2.0,20200
19800,5.0,1.0,19322
29700,9.5,4.0,37795
19800,9.0,1.0,33745
22500,8.25,5.0,34061
34200,10.0,9.0,44022
74700,5.5,5.0,24168
18000,6.5,1.0,24674
73800,6.0,2.0,23835
19800,8.5,1.0,31891
34200,6.25,2.0,24652
24300,8.25,1.0,30981
7200,9.5,9.0,41969
22500,7.75,1.0,29175
24300,8.75,1.0,32747
55800,6.75,8.0,31120
34200,7.0,2.0,27263
21600,5.75,2.0,22929
29700,5.5,3.0,22997
20700,6.0,1.0,22839
42300,8.25,2.0,31858
20700,6.5,3.0,26499
34200,9.0,7.0,39009
20700,7.5,1.0,28353
26100,8.0,1.0,30066
25200,5.25,3.0,21878
30600,6.25,1.0,23785
30600,5.75,2.0,22866
27900,9.75,1.0,36382
31500,7.0,3.0,28098
35100,5.25,2.0,21151
34200,5.5,5.0,24555
18000,6.25,4.0,26043
18000,5.75,3.0,23465
27900,8.0,6.0,34559
34200,6.75,3.0,27406
27900,8.5,3.0,33714
24300,8.75,2.0,33546
29700,9.25,3.0,36201
25200,9.0,10.0,41438
22500,7.0,3.0,28334
26100,5.25,1.0,20245
31500,5.0,3.0,20969
26100,9.75,1.0,36394
18900,7.5,4.0,30699
24300,5.0,9.0,25359
20700,10.0,1.0,37360
26100,9.75,9.0,42884
24300,7.0,1.0,26551
22500,9.0,2.0,34555
18900,5.5,1.0,21071
30600,8.0,4.0,32770
27000,5.5,3.0,22546
23400,9.0,1.0,33774
24300,5.5,3.0,22580
18900,7.25,1.0,27371
26100,5.0,2.0,20217
34200,10.0,8.0,43542
28800,6.0,3.0,24687
35100,5.25,1.0,20252
33300,10.0,4.0,39517
31500,9.25,1.0,34653
77400,5.0,3.0,20860
18000,10.0,3.0,38824
35100,5.75,5.0,25559
32400,9.5,9.0,42687
24300,7.5,2.0,29011
35100,5.0,1.0,19247
20700,9.25,10.0,42507
16200,6.75,10.0,32792
35100,9.0,1.0,33742
35100,5.5,2.0,21990
31500,9.5,1.0,35555
27900,5.25,1.0,20126
62100,5.25,2.0,20939
20700,5.5,4.0,23579
34200,6.0,2.0,23834
18000,9.25,6.0,39135
29700,5.75,1.0,21985
19800,10.0,1.0,37337
20700,7.25,2.0,28390
24300,5.5,2.0,21911
54900,8.5,3.0,33735
18000,5.25,1.0,20211
20700,9.0,1.0,33674
29700,5.5,2.0,21955
54900,9.25,2.0,35470
30600,8.0,6.0,34559
23400,5.25,6.0,24033
18000,9.25,1.0,34586
32400,7.0,6.0,31034
27000,9.75,3.0,37928
14400,9.75,3.0,37939
18900,7.5,3.0,29782
21600,9.25,4.0,36995
27000,5.0,1.0,19313
20700,5.5,2.0,21791
28800,9.0,4.0,36076
20700,6.5,1.0,24683
24300,8.5,1.0,31883
25200,5.25,1.0,20187
29700,7.25,4.0,29718
25200,5.0,2.0,20094
61200,6.5,10.0,31881
45000,8.75,1.0,32761
24300,7.0,1.0,26509
30600,6.5,10.0,31532
33300,5.25,1.0,20256
24300,6.5,6.0,28535
18000,6.0,3.0,24590
48600,7.25,7.0,32204
28800,7.0,1.0,26542
31500,5.5,1.0,21124
19800,9.25,1.0,34615
45900,8.0,6.0,34512
9900,7.25,2.0,28337
30600,5.0,9.0,25512
28800,6.25,1.0,23811
18000,9.25,1.0,34605
28800,7.0,1.0,26554
25200,9.25,2.0,35475
24300,7.5,6.0,32771
18000,5.5,2.0,22034
31500,9.75,1.0,36343
26100,9.5,4.0,37946
19800,6.0,6.0,27244
20700,9.0,8.0,39187
28800,7.0,9.0,33598
31500,5.25,5.0,23237
25200,5.5,3.0,22878
25200,5.0,10.0,26926
27000,5.5,2.0,22050
62100,7.75,4.0,31842
83700,5.5,1.0,21043
28800,8.0,3.0,31617
28800,8.0,1.0,30030
33300,9.25,1.0,34613
77400,9.0,2.0,34565
18900,8.5,1.0,31963
43200,7.75,1.0,29195
26100,9.0,1.0,33733
31500,5.5,3.0,22820
34200,7.5,2.0,29293
26100,5.5,4.0,23615
33300,6.0,1.0,22833
29700,7.5,1.0,28269
35100,7.25,1.0,27441
32400,8.25,8.0,36521
25200,8.0,7.0,35086
22500,8.25,2.0,31752
30600,6.75,8.0,31277
17100,10.0,6.0,41814
64800,8.25,7.0,35966
27900,6.25,1.0,23811
34200,6.75,1.0,25569
31500,8.25,3.0,32602
33300,5.0,2.0,20242
27900,7.25,1.0,27401
23400,7.5,1.0,28351
30600,9.0,1.0,33670
81900,5.0,1.0,19293
20700,7.75,1.0,29236
25200,7.25,3.0,28930
27000,9.0,1.0,33704
33300,7.5,2.0,29259
67500,5.5,3.0,22740
26100,8.5,2.0,32671
19800,9.25,2.0,35448
25200,6.5,2.0,25678
35100,5.0,4.0,21865
33300,9.5,7.0,40472
35100,6.5,3.0,26249
56700,5.5,2.0,21856
22500,6.0,9.0,28938
18000,8.75,9.0,39272
34200,9.5,1.0,35535
22500,6.25,5.0,27040
27000,8.0,10.0,37274
26100,10.0,1.0,37299
31500,8.5,9.0,39100
24300,8.75,1.0,32839
34200,8.25,3.0,32590
33300,5.5,2.0,22056
27900,9.5,3.0,37146
23400,9.75,2.0,37318
27900,5.0,1.0,19343
34200,9.75,3.0,38203
18000,5.0,4.0,21592
54000,6.0,1.0,22949
20700,9.0,1.0,33702
28800,5.75,5.0,25619
27900,7.5,3.0,29901
22500,9.5,3.0,37211
35100,9.0,10.0,41320
22500,5.5,1.0,21054
32400,9.25,2.0,35397
45900,10.0,5.0,40977
25200,9.0,1.0,33763
18900,10.0,6.0,41372
18000,8.0,1.0,30037
35100,7.75,1.0,29257
34200,7.5,1.0,28333
26100,6.5,1.0,24670
22500,8.0,4.0,32754
45900,9.0,1.0,33650
24300,9.75,2.0,37106
27000,7.75,1.0,29169
61200,5.75,3.0,23491
18000,7.25,1.0,27437
19800,5.75,4.0,24509
59400,8.5,1.0,31952
26100,8.75,1.0,32794
76500,8.5,3.0,33498
32400,8.75,1.0,32788
29700,5.5,10.0,27905
33300,5.25,10.0,27639
9900,5.5,2.0,21909
27900,6.75,3.0,27360
28800,9.25,1.0,34649
34200,9.5,1.0,35510
27900,6.5,2.0,25407
54000,9.5,1.0,35533
21600,8.0,1.0,30110
32400,7.25,1.0,27431
20700,6.5,2.0,25567
25200,8.5,2.0,32610
24300,7.25,1.0,27376
8100,7.5,4.0,31046
35100,5.75,1.0,21941
18900,9.75,3.0,38111
67500,8.75,3.0,34446
23400,10.0,10.0,45211
25200,7.25,4.0,30053
29700,6.75,3.0,27045
33300,6.5,9.0,30984
32400,7.0,5.0,30111
33300,8.25,2.0,31688
31500,6.25,1.0,23813
29700,9.5,2.0,36226
27000,9.0,1.0,33699
25200,7.5,1.0,28348
35100,8.75,1.0,32806
23400,5.5,3.0,22705
34200,6.0,3.0,24774
32400,5.25,3.0,21939
32400,5.25,1.0,20151
22500,9.25,3.0,36067
26100,6.75,7.0,30658
21600,6.75,5.0,29238
28800,8.5,1.0,31929
26100,9.5,2.0,36429
39600,6.25,4.0,26016
27900,5.75,3.0,23588
30600,8.0,1.0,30090
46800,5.0,1.0,19346
28800,6.0,2.0,23791
32400,6.75,5.0,28899
78300,5.5,1.0,21127
20700,7.0,10.0,34116
18000,7.75,2.0,30131
28800,7.0,1.0,26581
53100,6.5,1.0,24664
33300,6.0,7.0,27863
18900,9.0,1.0,33736
29700,9.0,7.0,38611
18900,5.75,1.0,21999
30600,7.25,4.0,29949
23400,10.0,3.0,39178
29700,5.0,2.0,20197
27900,7.5,3.0,29811
18900,7.25,2.0,28173
27000,7.0,1.0,26522
18900,10.0,3.0,38972
30600,5.0,3.0,21025
34200,8.0,7.0,35522
78300,8.75,1.0,32853
27900,5.5,9.0,27137
29700,5.5,2.0,21931
27900,8.5,2.0,32815
24300,7.25,2.0,28200
32400,9.25,9.0,41556
22500,7.5,1.0,28256
28800,9.5,1.0,35521
72900,5.5,3.0,22614
26100,9.5,1.0,35468
51300,7.5,1.0,28280
25200,7.75,3.0,31029
18000,7.0,7.0,31959
31500,8.5,1.0,31908
20700,7.25,3.0,28954
27900,7.25,1.0,27383
15300,5.0,6.0,23669
46800,5.75,1.0,22021
34200,8.0,1.0,30080
27900,8.75,1.0,32893
34200,7.0,1.0,26534
22500,6.5,3.0,26527
58500,6.25,3.0,25645
16200,8.5,3.0,33549
35100,9.75,9.0,42603
19800,9.0,2.0,34410
23400,5.5,3.0,22753
22500,10.0,1.0,37306
25200,9.75,1.0,36448
27000,9.75,1.0,36340
34200,9.75,4.0,38713
30600,6.0,4.0,25558
30600,7.5,6.0,32233
18900,5.5,1.0,21045
23400,7.75,5.0,32369
34200,9.75,3.0,37912
30600,9.5,2.0,36278
3600,8.75,1.0,32834
8100,8.5,3.0,33596
18900,6.25,2.0,24762
73800,9.5,4.0,37882
23400,9.5,9.0,42035
53100,8.75,6.0,36689
27000,6.75,1.0,25646
23400,8.0,1.0,30058
22500,6.75,9.0,31733
51300,10.0,2.0,38166
25200,8.25,1.0,30995
32400,8.5,3.0,33651
24300,9.0,1.0,33672
18000,8.0,1.0,30145
26100,9.5,1.0,35559
27900,10.0,2.0,38212
29700,8.5,1.0,31978
28800,5.25,4.0,22939
29700,5.0,4.0,21539
27900,8.25,1.0,30966
26100,9.5,3.0,37113
22500,8.75,1.0,32787
74700,6.25,10.0,31790
28800,5.25,3.0,21883
79200,7.0,1.0,26555
32400,5.5,2.0,21941
20700,5.25,1.0,20167
33300,5.75,7.0,26806
22500,8.0,6.0,34498
34200,9.75,2.0,37225
14400,7.25,10.0,34571
20700,7.75,1.0,29173
21600,7.0,1.0,26480
23400,9.5,6.0,39570
35100,10.0,8.0,43407
24300,8.25,1.0,31063
32400,9.5,1.0,35472
56700,5.75,1.0,21938
50400,5.0,1.0,19366
40500,6.25,4.0,26190
24300,7.25,1.0,27357
25200,8.0,1.0,30184
20700,8.25,2.0,31867
24300,8.75,2.0,33648
30600,5.5,9.0,27956
29700,5.0,6.0,23389
24300,5.0,1.0,19306
21600,10.0,4.0,39991
7200,5.25,4.0,22931
19800,7.0,2.0,27323
58500,6.5,1.0,24764
29700,5.25,1.0,20183
19800,8.25,1.0,31044
25200,7.0,1.0,26469
35100,8.5,1.0,31817
16200,9.75,2.0,37214
27900,7.75,1.0,29269
32400,5.0,4.0,21836
34200,8.0,1.0,30030
26100,8.25,2.0,31838
25200,6.5,2.0,25667
31500,9.25,3.0,36310
24300,6.75,1.0,25648
20700,6.5,7.0,29343
32400,7.5,1.0,28314
18900,7.0,2.0,27196
34200,5.0,1.0,19326
34200,9.0,1.0,33743
29700,9.5,1.0,35445
84600,9.5,1.0,35516
35100,6.75,1.0,25672
27900,6.75,3.0,27242
20700,8.5,2.0,32694
24300,9.25,1.0,34647
23400,5.0,9.0,26015
27900,6.0,1.0,22958
22500,6.25,4.0,26512
6300,8.0,10.0,37096
23400,9.5,3.0,37370
18900,5.5,10.0,28200
24300,8.75,2.0,33774
31500,7.5,3.0,30108
27900,8.0,1.0,30136
35100,8.0,4.0,32626
26100,7.25,1.0,27486
45000,6.25,2.0,24605
75600,9.5,8.0,41444
18900,9.75,1.0,36466
30600,6.75,5.0,28583
25200,9.25,1.0,34586
32400,9.0,1.0,33732
31500,5.25,3.0,21788
28800,5.5,3.0,22739
23400,5.75,4.0,24544
20700,5.5,8.0,27330
35100,6.5,10.0,32060
30600,9.5,1.0,35519
34200,10.0,3.0,39103
22500,6.25,1.0,23834
24300,9.5,3.0,37346
83700,9.5,4.0,38185
28800,6.25,3.0,25534
48600,7.25,3.0,29260
46800,6.5,4.0,27035
27900,5.75,3.0,23839
35100,5.5,9.0,28150
30600,6.75,8.0,31376
27000,6.75,1.0,25685
24300,8.75,1.0,32734
78300,6.25,3.0,25280
18900,5.75,3.0,23838
27900,10.0,9.0,43919
23400,6.25,3.0,25336
26100,6.25,10.0,31357
27000,7.75,6.0,33240
20700,5.25,3.0,21715
27000,5.5,6.0,25552
2700,9.5,3.0,37082
31500,5.5,6.0,25094
30600,9.75,4.0,38701
33300,5.75,3.0,23725
30600,5.75,1.0,21994
27900,8.25,1.0,31078
28800,9.75,1.0,36387
41400,6.0,1.0,22976
23400,8.0,1.0,30118
76500,5.75,1.0,22002
27900,5.0,8.0,25110
26100,8.25,1.0,30962
25200,9.75,3.0,37959
18900,6.25,4.0,26347
27900,9.5,4.0,38238
20700,8.25,1.0,31067
20700,6.0,2.0,23861
18900,7.5,5.0,31697
18000,8.75,2.0,33734
18900,6.25,5.0,27402
30600,7.25,4.0,29943
34200,8.25,1.0,30961
31500,7.75,10.0,37262
72000,7.0,1.0,26431
28800,10.0,1.0,37225
20700,8.5,1.0,31898
18900,6.5,3.0,26153
19800,5.75,4.0,24499
19800,6.0,7.0,27932
28800,9.75,10.0,44596
27000,8.25,1.0,31044
19800,7.75,1.0,29163
27000,7.25,1.0,27426
33300,8.0,4.0,32509
21600,8.75,4.0,35299
45900,7.75,2.0,30032
28800,9.0,3.0,35379
24300,9.75,1.0,36392
29700,9.5,10.0,42431
30600,9.5,1.0,35469
29700,9.25,2.0,35414
22500,5.25,4.0,22594
31500,8.0,1.0,30083
24300,9.25,2.0,35534
19800,7.75,3.0,30947
26100,6.5,4.0,27166
20700,5.25,4.0,22710
24300,10.0,2.0,38194
18000,9.25,2.0,35484
82800,5.5,6.0,25304
33300,6.0,3.0,24546
34200,6.0,1.0,22886
25200,5.75,1.0,22022
900,6.25,2.0,24754
21600,5.25,1.0,20172
33300,6.0,8.0,29043
29700,9.25,4.0,36927
18000,8.75,2.0,33725
32400,6.0,8.0,28470
20700,6.25,7.0,28355
32400,7.5,3.0,29988
29700,5.75,2.0,22742
19800,6.75,6.0,30159
26100,9.0,1.0,33705
29700,9.0,1.0,33665
21600,8.5,3.0,33548
19800,8.75,1.0,32813
18000,8.5,2.0,32631
33300,5.5,2.0,21974
19800,8.75,1.0,32830
35100,5.0,1.0,19270
21600,8.75,1.0,32853
19800,9.0,4.0,36276
25200,9.75,9.0,42687
22500,8.0,1.0,30187
32400,9.0,3.0,35317
32400,5.25,4.0,22481
34200,8.5,1.0,31853
24300,8.0,3.0,31575
20700,5.5,1.0,21155
26100,8.25,5.0,34175
23400,6.0,2.0,23761
59400,10.0,2.0,38118
31500,8.75,1.0,32736
25200,8.25,1.0,30951
28800,7.25,10.0,35553
31500,7.5,2.0,29058
18000,6.75,1.0,25581
20700,6.25,2.0,24704
0,8.0,6.0,33889
68400,9.5,1.0,35573
31500,5.0,5.0,22468
45900,7.5,1.0,28348
27900,6.0,6.0,26685
18900,9.5,1.0,35453
35100,7.0,3.0,27988
19800,7.75,1.0,29170
23400,5.0,2.0,20238
25200,6.0,8.0,29258
82800,7.5,9.0,34540
35100,8.75,10.0,40190
22500,8.25,2.0,31783
34200,9.0,10.0,40624
20700,7.25,8.0,32987
28800,7.75,1.0,29117
27900,7.5,1.0,28264
29700,8.0,1.0,30124
24300,6.5,2.0,25596
18000,10.0,9.0,43667
40500,7.75,3.0,30901
38700,5.5,9.0,27909
29700,8.25,3.0,32512
26100,8.75,3.0,34568
64800,6.75,2.0,26525
3600,5.5,2.0,21848
32400,10.0,2.0,38054
24300,7.25,3.0,29018
29700,5.75,2.0,22951
20700,5.0,1.0,19309
18900,6.75,10.0,32600
22500,8.0,7.0,35216
32400,5.5,6.0,25646
25200,6.25,2.0,24728
30600,6.75,1.0,25574
24300,6.0,2.0,23713
22500,8.0,3.0,31790
20700,6.75,1.0,25564
33300,5.25,4.0,22489
33300,6.5,1.0,24648
20700,7.5,3.0,29834
22500,7.75,8.0,34508
27900,6.0,10.0,30630
32400,5.5,1.0,21183
21600,7.5,5.0,31653
21600,8.5,3.0,33525
21600,8.75,3.0,34565
31500,6.75,7.0,30483
21600,7.75,3.0,31065
9900,7.5,1.0,28363
21600,9.0,1.0,33655
27000,7.5,1.0,28329
